code,name,date
025980,아난티,1996-01-06
008700,아남전자,1984-08-11
058220,아리온,2005-08-05
125210,아모그린텍,2019-03-29
002795,아모레G우,1989-06-30
00279K,아모레G3우(전환),2019-12-26
002790,아모레G,1973-04-30
090435,아모레퍼시픽우,2006-06-29
090430,아모레퍼시픽,2006-06-29
052710,아모텍,2003-08-01
074430,아미노로직스,2004-06-04
092040,아미코젠,2013-09-12
083930,아바코,2005-10-11
149950,아바텍,2012-11-06
036010,아비코전자,2002-07-03
002030,아세아,1974-06-03
183190,아세아시멘트,2013-11-06
002310,아세아제지,1988-12-15
050860,아세아텍,2010-01-26
012170,아센디오,1989-12-20
136410,아셈스,2022-02-07
246720,아스타,2017-03-20
067390,아스트,2014-12-24
159010,아스플로,2021-10-07
127710,아시아경제,2015-07-31
267850,아시아나IDT,2018-11-23
020560,아시아나항공,2008-03-28
227610,아우딘퓨쳐스,2017-07-12
143160,아이디스,2011-09-26
054800,아이디스홀딩스,2001-09-27
332370,아이디피,2020-08-24
122900,아이마켓코리아,2010-07-30
339950,아이비김영,2019-12-24
426550,IBKS제19호스팩,2022-08-26
439730,IBKS제20호스팩,2022-10-28
442770,IBKS제21호스팩,2022-12-16
448760,IBKS제22호스팩,2023-04-06
099190,아이센스,2013-01-30
289010,아이스크림에듀,2019-07-11
214430,아이쓰리시스템,2015-07-30
040910,아이씨디,2011-08-05
368600,아이씨에이치,2022-07-29
052860,아이앤씨,2009-10-06
010780,아이에스동서,1986-01-27
095340,ISC,2007-10-01
069920,아이에스이커머스,2007-12-05
038880,아이에이,2000-04-27
307180,아이엘사이언스,2018-12-21
101390,아이엠,2008-07-23
052220,iMBC,2005-01-21
456570,아이엠지티,2023-07-19
451220,아이엠티,2023-10-10
447690,아이오바이오,2022-12-28
078860,아이오케이,2006-06-27
090150,아이윈,2006-10-20
123010,아이윈플러스,2016-07-20
031310,아이즈비전,1997-07-25
185490,아이진,2015-11-16
059100,아이컴포넌트,2008-12-16
149010,아이케이세미콘,2014-11-14
262840,아이퀘스트,2021-02-05
175250,아이큐어,2018-07-12
052460,아이크래프트,2005-01-03
119830,아이텍,2010-10-26
052770,아이톡시,2002-08-22
124500,아이티센,2014-12-23
372800,아이티아이즈,2021-11-11
099520,ITX-AI,2009-12-22
084850,아이티엠반도체,2019-11-07
114840,아이패밀리에스씨,2021-10-28
139990,아주스틸,2021-08-20
027360,아주IB투자,2018-11-21
032080,아즈텍WB,2000-10-26
013310,아진산업,2015-12-22
059120,아진엑스텍,2014-07-24
158430,아톤,2019-10-17
149300,아퓨어스,2019-09-03
067160,아프리카TV,2003-12-19
102950,아하,2022-11-30
001540,안국약품,2000-06-15
053800,안랩,2001-09-13
251280,안지오랩,2016-10-25
065660,안트로젠,2016-02-15
297570,알로이스,2018-07-20
001780,알루코,2007-06-07
260660,알리코제약,2018-02-12
354320,알멕,2023-06-30
361570,알비더블유,2021-11-22
131370,알서포트,2011-01-05
140670,알에스오토메이션,2017-08-11
327260,RF머트리얼즈,2019-12-24
096610,알에프세미,2007-11-20
218410,RFHIC,2015-06-30
061040,알에프텍,2002-05-16
148250,알엔투테크놀로지,2016-06-22
347860,알체라,2020-12-21
196170,알테오젠,2014-12-12
123750,알톤스포츠,2010-07-02
085810,알티캐스트,2013-12-06
117670,알파홀딩스,2010-09-17
314140,알피바이오,2022-09-29
291650,압타머사이언스,2020-09-16
293780,압타바이오,2019-06-12
018250,애경산업,2018-03-22
161000,애경케미칼,2012-09-17
390110,애니메디솔루션,2022-12-21
196300,애니젠,2016-12-07
310200,애니플러스,2018-12-21
179530,애드바이오텍,2022-01-24
900100,애머릿지,2010-04-21
205500,액션스퀘어,2014-11-12
052790,액토즈소프트,2001-08-14
290740,액트로,2018-08-28
238090,앤디포스,2016-10-12
092600,앤씨앤,2007-06-26
129890,앱코,2020-12-02
174900,앱클론,2017-09-18
255440,야스,2017-09-29
030960,양지사,1996-10-24
102120,어보브반도체,2009-06-05
263540,어스앤에어로스페이스,2017-09-15
238120,얼라인드,2016-11-03
224810,엄지하우스,2015-10-21
019990,에너토크,2006-02-01
011090,에넥스,1995-07-08
270660,에브리봇,2021-07-28
038680,에스넷,2000-04-27
137310,에스디바이오센서,2021-07-16
217480,에스디생명공학,2017-03-02
121890,에스디시스템,2010-07-16
099220,SDN,2009-05-19
118000,에스메디,2009-12-30
304360,에스바이오메딕스,2023-05-04
289080,SV인베스트먼트,2018-07-06
151910,SBW생명과학,2012-08-02
389500,에스비비테크,2022-10-17
019550,SBI인베스트먼트,1989-09-06
034120,SBS,2003-06-25
042110,에스씨디,2000-07-13
036120,SCI평가정보,1999-12-07
298060,에스씨엠생명과학,2020-06-17
065420,에스아이리소스,2002-08-22
270210,에스알바이오텍,2017-06-15
103230,에스앤더블류,2009-08-05
260970,에스앤디,2021-09-29
101490,에스앤에스텍,2009-04-14
095910,에스에너지,2007-10-16
